id,name,task_description,area,budgeted_amount,status,asset_id,asset_type,fiscal_year,start_date,inactive,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1153310619,PLAY AREA IMPROVEMENTS,New Play Structure - Mellon Park,Facility Improvement,15000,Completed,Mellon Playground,Playground,2017,2017-02-08,f,Shadyside,8,7,42003070800,2,7,4,3-13,40.45390763,-79.91579734
1403308971,PLAY AREA IMPROVEMENTS,New Safety Surface - Mellon Park,Facility Improvement,119660,Completed,Mellon Playground,Playground,2017,2017-02-08,f,Shadyside,8,7,42003070800,2,7,4,3-13,40.45390763,-79.91579734
1620987369,PLAY AREA IMPROVEMENTS,Replace Parts - Herschel Playground,Facility Improvement,7000,Canceled,Herschel Playground,Playground,2017,2017-02-08,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44027003,-80.04339874
1191864617,PLAY AREA IMPROVEMENTS,Paint Structure - Herschel Playground,Facility Improvement,15000,Canceled,Herschel Playground,Playground,2017,2017-02-08,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44027003,-80.04339874
923739155,PLAY AREA IMPROVEMENTS,New Safety Surface - Herschel Playground,Facility Improvement,64434,Canceled,Herschel Playground,Playground,2017,2017-02-08,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44027003,-80.04339874
846408033,PLAY AREA IMPROVEMENTS,New Safety Surface - Stratmore Parklet,Facility Improvement,30000,Canceled,Joseph Kukuruda Playground,Playground,2017,2017-02-08,f,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43929832,-80.0559964
1485842438,PLAY AREA IMPROVEMENTS,New Play Structure - Stratmore Parklet,Facility Improvement,70000,Canceled,Joseph Kukuruda Playground,Playground,2017,2017-02-08,f,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43929832,-80.0559964
1009565403,PARK RECONSTRUCTION,Manchester Field Improvements,Facility Improvement,3000,Completed,Manchester,Playing Field,2017,2017-02-08,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45676059,-80.02480352
1693386840,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Paul J. Sciullo II Memorial Park,Facility Improvement,35000,Completed,Officer Paul J. Sciullo II Memorial Field,Playing Field,2017,2017-02-08,f,Lower Lawrenceville,7,8,42003060300,2,8,2,3-1,40.46235444,-79.95471143
670505821,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - McGonigle Park,Facility Improvement,35000,Completed,McGonigle,Playing Field,2017,2017-02-08,f,Sheraden,2,20,42003562500,5,20,6,1-16,40.46002342,-80.06573203
1081059875,SPORT FACILITY IMPROVEMENTS,Phase II Schenely Park Oval Turf Package,Facility Improvement,240000,Completed,Oval,Playing Field,2017,2017-02-08,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43250117,-79.9434023
442224800,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Gardner,Facility Improvement,5200,Canceled,Gardner,Playing Field,2017,2017-02-08,f,Troy Hill,1,24,42003240600,1,24,1,1-2,40.4616534,-79.98602484
248108512,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Magee Playground,Facility Improvement,85000,Canceled,Magee Field 1,Playing Field,2017,2017-02-08,f,Greenfield,5,15,42003151700,3,15,4,2-15,40.4257722,-79.9376695
1442015202,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Spring Hill Park,Facility Improvement,35000,Completed,Spring Hill,Playing Field,2017,2017-02-08,f,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.47037226,-79.99226563
77586942,POOL REHABILITATION,Pool Liner - Sue Murray,Facility Improvement,55000,Completed,Sue Murray,Pool,2017,2017-02-08,f,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45128744,-80.00147818
979654971,POOL REHABILITATION,Relocate Filter Building Above Ground - Riverview,Facility Improvement,800000,Planned,Riverview,Pool,2017,2017-02-08,f,Perry North,1,26,42003980400,1,26,1,1-15,40.4796929,-80.01844504
918434085,POOL REHABILITATION,ADA Site Accessibility - Riverview,Facility Improvement,800000,Planned,Riverview,Pool,2017,2017-02-08,f,Perry North,1,26,42003980400,1,26,1,1-15,40.4796929,-80.01844504
1713472049,POOL REHABILITATION,Pool Liner - West Penn,Facility Improvement,55000,Completed,West Penn,Pool,2017,2017-02-08,f,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45526295,-79.96994512
439928329,BIKE INFRASTRUCTURE,Bike Facilities - Baum/Centre Crossing,Engineering and Construction,100000,Planned,TS216,Signalized Intersection,2017,2017-02-08,f,Shadyside,8,7,42003070900,2,7,4,3-11,40.4572618,-79.93405726
1806724539,PENNDOT LOCAL SHARE (TIP),Signal Replacement,Engineering and Construction,3000,Planned,TS267,Signalized Intersection,2017,2017-02-08,f,East Allegheny,1,23,42003563200,1,23,1,1-6,40.45641846,-79.99866027
168702050,STEP REPAIR AND REPLACEMENT,Carnahan Road/Banksville Steps,Engineering and Construction,125000,Planned,Carnahan Rd at Younger Ave from Banksville Ave,Step,2017,2017-02-08,f,Banksville,2,20,42003202300,5,20,6,4-9,40.40681922,-80.03601023
1274317060,STEP REPAIR AND REPLACEMENT,Lower Oakley Street Steps/Phase 2,Engineering and Construction,60000,Completed,Oakley Way from Joesphine St to McCord St,Step,2017,2017-02-08,f,South Side Slopes,3,16,42003160800,3,16,3,4-24,40.42353074,-79.9686893
1358827067,SLOPE FAILURE REMEDIATION,Baldauf Street Wall,Engineering and Construction,150000,Completed,Baldauf St,Retaining Wall,2017,2017-02-08,f,South Side Slopes,3,17,42003170600,3,17,3,4-3,40.42303306,-79.98001595
976733348,SLOPE FAILURE REMEDIATION,Brahm Street Wall,Engineering and Construction,400000,Completed,Brahm St,Retaining Wall,2017,2017-02-08,f,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46491451,-79.99852714
1734931717,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - Morningside,Administration/Sub-Award,8300,Planned,Morningside Senior Center,Facility,2017,2017-02-08,f,Morningside,7,10,42003101400,2,10,5,3-7,40.48389771,-79.92497828
537021270,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - Homewood,Administration/Sub-Award,8300,Planned,Homewood Senior Center,Facility,2017,2017-02-08,f,Homewood North,9,13,42003130200,2,13,5,3-17,40.45690353,-79.89300124
2143189705,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43756,-79.953521
1364486196,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Emmaus Community of Pittsburgh,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42546,-79.965961
548120448,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services/Oakland Business Improvement District,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43756,-79.953521
1780500816,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Oakland Planning & Development Corp.,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.440295,-79.956588
993396157,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,PA Cleanways of Allegheny County,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Perry South,6,26,42003261500,1,26,1,1-23,40.47045,-80.013791
1088735101,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pennsylvania Resource Council,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42776229,-79.98416184
1011353526,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Persad Center,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.482217,-79.952386
1306020995,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pittsburgh AIDS Task Force,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46211,-79.926281
151537107,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Shepherd Wellness Community,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-09,f,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45966,-79.947351
1696718969,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Tree of Hope,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill North,8,14,42003140300,3,14,4,2-18,40.44360122,-79.92105373
1995361909,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Vietnam Veterans Leadership,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Strip District,7,6,42003020300,6,6,2,3-2,40.45905,-79.973781
665932056,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Brashear Association,Administration/Sub-Award,13000,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42778,-79.977411
765817022,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Hilltop Alliance,Administration/Sub-Award,13000,Planned,,Non-Asset,2017,2017-02-08,f,Allentown,3,18,42003180300,5,18,3,4-6,40.42208,-79.992501
1784673740,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Western Pennsylvania Conservancy,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46432654,-79.97690068
1707167348,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Brashear Association,Administration/Sub-Award,3000,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42778,-79.977411
1503392411,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,PA Cleanways of Allegheny County,Administration/Sub-Award,3000,Planned,,Non-Asset,2017,2017-02-08,f,Perry South,6,26,42003261500,1,26,1,1-23,40.47045,-80.013791
855687619,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Angel's Place,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Brookline,4,19,42003191800,5,19,6,4-26,40.392744,-80.025097
1521147785,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pennsylvania Resources Council,Administration/Sub-Award,6000,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42773983,-79.98419134
1101090684,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Economic Development South,Administration/Sub-Award,10000,Planned,,Non-Asset,2017,2017-02-08,f,,,,42003478100,,,,,40.36574,-79.981881
1814653410,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Elizabeth Seton Center,Administration/Sub-Award,12000,Planned,,Non-Asset,2017,2017-02-08,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40387,-80.015861
1863873342,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43756,-79.953521
1976647247,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Jewish Family and Childrens Services - Refugee Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43622838,-79.92372459
64074019,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Jewish Family and Childrens Services - Career Development,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43620052,-79.92366113
1106814282,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pittsburgh AIDS Task Force,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46211,-79.926281
1433254678,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Reading is Fundamental of Pittsburgh,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45262636,-80.00687478
229986650,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Young Men and Women's Hebrew Association / Irene Kauffman Centers / JCC of Greater Pittsburgh,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-18,40.43769262,-79.92393066
1707851509,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Jewish Family and Childrens Services - Squirrel Hill Community Food Pantry,Administration/Sub-Award,3500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43622728,-79.92373157
279892637,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,SLB Radio Productions,Administration/Sub-Award,8000,Planned,,Non-Asset,2017,2017-02-08,f,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45266718,-80.00673531
442921157,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Hazelwood Initiative,Administration/Sub-Award,15000,Planned,,Non-Asset,2017,2017-02-08,f,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40643414,-79.94266699
325570794,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Rebuilding Together Pittsburgh,Administration/Sub-Award,30000,Planned,,Non-Asset,2017,2017-02-08,f,Homewood South,9,13,42003130400,2,13,5,3-17,40.44961865,-79.88901163
1985413396,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43756,-79.953521
1650204036,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Lower Bloomfield Unity Council,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46043,-79.949541
1410397358,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pittsburgh Project,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Perry South,6,26,42003261500,1,26,1,1-23,40.47045,-80.013791
524382614,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Bloomfield Garfield Corporation,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Garfield,9,10,42003101700,2,10,5,3-23,40.46488,-79.940971
702833766,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Shepherd Wellness Center,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45960985,-79.94740608
1502385020,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Union Project,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Highland Park,7,11,42003110200,2,11,5,3-9,40.47189274,-79.92646752
868580857,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Western Pennsylvania Conservancy,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46443867,-79.9769306
1884392059,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Friendship Community Group,Administration/Sub-Award,7500,Planned,,Non-Asset,2017,2017-02-08,f,Bloomfield,7,8,42003080900,2,8,5,3-6,40.46244245,-79.9445909
517234150,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Lawrenceville Corporation,Administration/Sub-Award,15000,Planned,,Non-Asset,2017,2017-02-08,f,Central Lawrenceville,7,9,42003090100,2,9,2,3-3,40.47256001,-79.96375526
740358061,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Lawrenceville United,Administration/Sub-Award,15000,Planned,,Non-Asset,2017,2017-02-08,f,Central Lawrenceville,7,9,42003090100,2,9,2,3-5,40.47704053,-79.95718418
1634559501,FACILITY IMPROVEMENTS,Fire Station 28 - Roof Replacement,Facility Improvement,300000,Completed,Firehouse 28,Roofing System,2017,2017-08-01,f,Beechview,4,19,42003191600,5,19,6,4-28,40.41312585,-80.02517762
1633549294,FACILITY IMPROVEMENTS,Fire Station 13 - Roof Replacement,Facility Improvement,200000,Completed,Firehouse 13,Roofing System,2017,2017-02-08,f,Hazelwood,5,15,42003562300,3,15,4,2-13,40.41012612,-79.94227362
1938294584,FACILITY IMPROVEMENTS,Medic 8 - Roof Replacement,Facility Improvement,125000,Completed,Medic 08 Asphalt Shingle,Roofing System,2017,2017-02-08,f,Allentown,3,18,42003180300,5,18,3,4-21,40.42025045,-79.99500521
1610380231,FACILITY IMPROVEMENTS,Fire Station 6 - Roof Replacement,Facility Improvement,250000,Completed,Firehouse 06,Roofing System,2017,2017-02-08,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-6,40.4648831,-79.95814144
1950145696,FACILITY IMPROVEMENTS,"Fire Station 26 - Roof Replacement, Interior Renovations",Facility Improvement,300000,Completed,Firehouse 26,Roofing System,2017,2017-03-27,f,Brookline,4,19,42003191800,5,19,6,4-26,40.39478237,-80.02185025
862962060,RECREATION AND SENIOR CENTERS,Brighton Heights - Roof,Facility Improvement,50000,Planned,B600 - Brighton Heights Senior Center Roof,Roofing System,2017,2017-02-08,f,Brighton Heights,1,27,42003270300,1,27,1,1-14,40.47926901,-80.03578392
909184333,BRIDGE REPAIRS,Columbus Ave Bridge wall repair,Engineering and Construction,50000,Planned,Manchester Park 1,Sidewalk,2017,2017-02-08,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45835404,-80.02503256
247307022,PARK RECONSTRUCTION,Sidewalk  Repair - Armstrong Park,Facility Improvement,7500,Planned,Armstrong Park,Sidewalk,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42806308,-79.9858565
1959071253,PARK RECONSTRUCTION,Sidewalk  Repair - McKinley Park,Facility Improvement,5000,Planned,Delmont Ave from Michigan St to Amesbury St,Sidewalk,2017,2017-02-08,f,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41495709,-80.00382162
166060304,PARK RECONSTRUCTION,Sidewalk  Repair - Baxter,Facility Improvement,26000,Planned,Baxter Park,Sidewalk,2017,2017-02-08,f,Homewood North,9,13,42003130200,2,13,5,3-17,40.45608842,-79.88928567
1382632327,PARK RECONSTRUCTION,Sidewalk Repair - Brighton Heights,Facility Improvement,10000,Planned,Brighton Heights Park 1,Sidewalk,2017,2017-02-08,f,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48717632,-80.03144636
1834771191,PARK RECONSTRUCTION,Sidewalk  Repair - Legion,Facility Improvement,5000,Planned,Legion Memorial Park,Sidewalk,2017,2017-02-08,f,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48194059,-80.03465037
1797061367,PARK RECONSTRUCTION,Sidewalk  Repair - McCandless Park,Facility Improvement,6000,Planned,McCandless Park,Sidewalk,2017,2017-02-08,f,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48078639,-79.95260101
153276188,PARK RECONSTRUCTION,Sidewalk  Repair - Chartiers,Facility Improvement,50000,Completed,Chartiers Park,Sidewalk,2017,2017-02-08,f,Windgap,2,28,42003563000,5,28,6,1-16,40.45718218,-80.07422147
316110855,PARK RECONSTRUCTION,Sidewalk  Repair - Troy Hill Citizen's Park,Facility Improvement,5000,Canceled,Troy Hill Citizen's Park,Sidewalk,2017,2017-02-08,f,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46321886,-79.98375534
2033384131,PARK RECONSTRUCTION,Sidewalk  Repair - Mellon Park,Facility Improvement,25000,Completed,Mellon Park 1,Sidewalk,2017,2017-02-08,f,Point Breeze,8,14,42003140400,3,14,4,2-17,40.45235866,-79.91830606
631727297,PARK RECONSTRUCTION,Sidewalk  Repair - Lewis Park,Facility Improvement,14000,Planned,Lewis Park,Sidewalk,2017,2017-02-08,f,Hazelwood,5,15,42003562900,3,15,4,2-13,40.41290176,-79.94480785
1291881316,PARK RECONSTRUCTION,Sidewalk  Repair - Burgwin Park,Facility Improvement,43000,Planned,Burgwin Park,Sidewalk,2017,2017-02-08,f,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40502883,-79.93679996
1039507612,PARK RECONSTRUCTION,Naturalization - Lawn & Ophelia,Facility Improvement,85000,Planned,Lawn and Ophelia Park,Sidewalk,2017,2017-02-08,f,South Oakland,6,4,42003040900,3,4,4,2-10,40.43541798,-79.96532733
1603171534,PARK RECONSTRUCTION,Sidewalk  Repair - Robert E. Williams,Facility Improvement,20000,Planned,Robert E. Williams Park,Sidewalk,2017,2017-02-08,f,Upper Hill,6,5,42003050600,3,5,2,2-22,40.45453674,-79.96005889
724061875,PARK RECONSTRUCTION,Sidewalk  Repair - Allegheny Commons Park,Facility Improvement,13000,Planned,W North Ave from Brighton Rd to Arch St,Sidewalk,2017,2017-02-08,f,Allegheny Center,1,22,42003562700,1,22,1,1-21,40.4544671,-80.01153001
2121246508,PARK RECONSTRUCTION,Sidewalk  Repair - Osceola Park,Facility Improvement,5000,Planned,Osceola Park,Sidewalk,2017,2017-02-08,f,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45671579,-79.94243405
1875168517,PARK RECONSTRUCTION,Sidewalk  Repair - Marmaduke,Facility Improvement,10000,Planned,Marmaduke Park,Sidewalk,2017,2017-02-08,f,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48469399,-80.04234086
1768521605,PARK RECONSTRUCTION,Sidewalk  Repair - McKnight,Facility Improvement,10000,Planned,McKnight Park,Sidewalk,2017,2017-02-08,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45200025,-80.02300794
82939880,PARK RECONSTRUCTION,Sidewalk  Repair - Phillips Park,Facility Improvement,5000,Planned,Phillips Park,Sidewalk,2017,2017-02-08,f,Carrick,4,29,42003290400,3,29,3,4-23,40.39079588,-79.99036625
83776626,PARK RECONSTRUCTION,Sidewalk  Repair - Moore Park,Facility Improvement,48000,Completed,Moore Park 1,Sidewalk,2017,2017-02-08,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40539608,-80.01502789
683373708,PARK RECONSTRUCTION,Sidewalk  Repair - Stratmore,Facility Improvement,32000,Canceled,Stratmore Park 1,Sidewalk,2017,2017-02-08,f,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43934561,-80.05593571
784101184,PARK RECONSTRUCTION,Sidewalk  Repair - Gladstone Park,Facility Improvement,9000,Planned,Gladstone Park,Sidewalk,2017,2017-02-08,f,Hazelwood,5,15,42003562300,3,15,4,2-12,40.41530397,-79.93890509
